,Bureau of Internal Revenue,Bureau of Customs,Other Offices,Bureau of Treasury Income,Fees and Other Charges,Sale of Assets,Marcos Wealth,Grants and Others,Tax Revenue,Non Tax Revenue,Expenditures,Domestic,Foreign,Local Government Units,SSS/GSIS/PHIC,Adjustment of net lending and equity to GOCCs,Government Financial Institutions,Others,Central Bank Restructuring,Government Owned and Controlled Corporations,Bangko Sentral ng Pilipinas,National Government,Foreign,Domestic,GDP
key,tax-bir,tax-customs,tax-other,nontax-bot,nontax-fees,nontax-assets,nontax-marcos,nontax-grants,ops-tax,ops-nontax,ops-expend,ng-debt-domestic,ng-debt-foreign,cps-lgu,cps-sss,cps-lending,cps-govfin,cps-others,cps-restruct,cps-gocc,cps-bsp,cps-ng,cps-debt-foreign,cps-debt-domestic,gdp
ShortDesc,NG Revenues/Tax,NG Revenues/Tax,NG Revenues/Tax,NG Revenues/NonTax,NG Revenues/NonTax,NG Revenues/NonTax,NG Revenues/NonTax,NG Revenues/NonTax,NG Cash Operations,NG Cash Operations,NG Cash Operations,NG Outstanding Debt,NG Outstanding Debt,CPS Cash Operations,CPS Cash Operations,CPS Cash Operations,CPS Cash Operations,CPS Cash Operations,CPS Cash Operations,CPS Cash Operations,CPS Cash Operations,CPS Cash Operations,CPS Outstanding Debt,CPS Outstanding Debt,Memorandum Items
SubCategory,Tax Revenue,Tax Revenue,Tax Revenue,Non Tax Revenue,Non Tax Revenue,Non Tax Revenue,Non Tax Revenue,Non Tax Revenue,Revenue,Revenue,Expenditures,Domestic,Foreign,PUBLIC SECTOR SURPLUS/(DEFICIT),PUBLIC SECTOR SURPLUS/(DEFICIT),PUBLIC SECTOR SURPLUS/(DEFICIT),PUBLIC SECTOR SURPLUS/(DEFICIT),PUBLIC SECTOR SURPLUS/(DEFICIT),PUBLIC SECTOR SURPLUS/(DEFICIT),PUBLIC SECTOR SURPLUS/(DEFICIT),PUBLIC SECTOR SURPLUS/(DEFICIT),PUBLIC SECTOR SURPLUS/(DEFICIT),Outstanding Debt,Outstanding Debt,Gross Domestic Product
2003,427350.00,117201.00,5917.00,56657.00,18635.00,567.00,0.00,13410.00,550468.00,89269.00,-839605.00,1703781.00,1651327.00,17577.00,17586.00,5809.00,4925.00,2894.00,-15663.00,-65315.00,6917.00,-199868.00,1531064.03,3542958.43,4548102.00
2004,470329.00,127269.00,7366.00,64690.00,19574.00,420.00,8854.00,8216.00,604964.00,101754.00,-893775.00,2001220.00,1810734.00,14723.00,24375.00,9168.00,5211.00,1093.00,-17478.00,-85413.00,3270.00,-187057.00,1699999.06,3589212.58,5120435.00
2005,542697.00,154566.00,8352.00,70597.00,18978.00,2430.00,7300.00,11239.00,705615.00,110544.00,-962937.00,2164293.00,1723938.00,23783.00,48934.00,1529.00,6614.00,3276.00,-16327.00,-25374.00,3632.00,-146778.00,1745369.82,3288499.82,5677750.00
2006,652734.00,198161.00,8962.00,74446.00,16761.00,5815.00,8358.00,14401.00,859857.00,119781.00,-1044429.00,2154078.00,1697428.00,26738.50,59355.00,-31.00,7997.00,-4565.00,-13225.00,-1056.00,557.00,-64791.00,1913883.33,3029740.79,6271157.00
2007,713605.00,209439.00,9893.00,67932.00,21637.00,90619.00,0.00,23435.00,932937.00,203623.00,-1149001.00,2201167.00,1511320.00,21807.00,34203.00,10615.00,5939.72,698.00,-8177.00,57926.00,-89220.00,-12441.00,2194045.49,2571751.20,6892721.00
2008,778581.00,260248.00,10360.00,63681.00,16409.00,31289.00,0.00,42337.00,1049189.00,153716.00,-1271022.00,2414428.00,1806475.00,34578.00,66699.00,13753.00,7496.00,2280.00,-8759.00,-27158.90,9427.00,-68117.00,2328285.46,2935076.64,7720903.00
2009,750287.00,220307.00,11037.00,69912.00,19253.00,1390.00,0.00,51025.00,981631.00,141580.00,-1421743.00,2470040.00,1926599.00,34695.00,44500.00,-3261.00,10800.00,-121.00,-8759.00,-19300.00,-168.00,-298532.00,2691683.75,2997990.79,8026143.00
2010,822623.00,259241.00,11779.00,54315.00,22820.00,914.00,0.00,36234.00,1093643.00,114283.00,-1522384.00,2718202.00,1999969.00,34103.00,40122.00,9927.00,9451.73,3391.00,-7689.00,-66925.00,-63722.00,-314458.00,3783097.29,2899717.28,9003480.00
2011,924146.00,265108.00,12812.00,75236.00,26048.00,930.00,0.00,55662.00,1202066.00,157876.00,-1557696.00,2873357.00,2077831.00,34724.00,47965.70,1019.00,9760.00,0.00,-3536.00,-19842.00,-47432.00,-197754.00,4773163.30,2820210.14,9706267.00
2012,1057916.00,289866.00,13299.00,84080.00,27793.00,8348.00,0.00,53630.00,1361081.00,173851.00,-1777759.00,3468375.00,1968729.00,73648.00,72727.00,27200.00,9269.00,-62.00,-3506.00,-4906.00,-94848.00,-242827.00,5219892.64,2275735.71,10564887.00